year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
2004,,-8.0,-8.0,11.666666666666686,11.0,-12.666666666666686,-14.0,1.0,2.0,2.0,-2.0,-3.0,-1.8333333333333144,-1.5,-2.0,-0.6666666666666856,-1.3333333333333144,-2.6666666666666856,6.0,6.0,6.0,9.666666666666686,11.166666666666686,6.166666666666686,4.0,3.0
2005,,4.0,5.666666666666686,0.0,0.0,10.0,9.666666666666686,-14.0,-12.333333333333314,-14.0,5.0,4.666666666666686,8.0,6.5,7.833333333333314,5.5,8.0,-2.3333333333333144,7.166666666666686,6.0,3.5,-3.8333333333333144,-3.0,-3.0,-4.0,-6.833333333333314
2006,,-6.0,0.0,0.8333333333333144,-5.0,-8.666666666666686,-7.666666666666686,-7.0,12.0,9.0,-6.0,4.0,2.5,0.0,-4.666666666666686,-5.5,11.0,8.833333333333314,-6.0,-10.166666666666686,-6.5,-26.0,-5.0,-12.0,-0.3333333333333144,4.0
2007,,-6.0,12.0,4.0,4.0,9.0,-2.6666666666666856,-7.5,-9.0,5.833333333333314,1.0,7.0,2.0,14.833333333333314,-0.6666666666666856,-1.0,-6.0,10.166666666666686,-4.0,11.0,1.8333333333333144,11.833333333333314,-13.333333333333314,-20.0,3.3333333333333144,-15.666666666666686
2008,,-4.5,1.0,0.0,1.0,-3.1666666666666856,-9.833333333333314,2.8333333333333144,-22.0,6.0,-8.333333333333314,11.0,2.5,8.833333333333314,3.0,9.166666666666686,2.0,-5.166666666666686,7.0,-8.0,0.0,4.0,-10.0,9.0,4.0,-11.0
2009,,11.0,3.3333333333333144,-8.166666666666686,8.666666666666686,-5.666666666666686,7.0,-1.0,-2.0,-5.0,6.0,8.0,8.0,7.333333333333314,8.333333333333314,-10.166666666666686,-23.166666666666686,-11.0,2.8333333333333144,-1.5,10.0,-4.666666666666686,13.0,12.833333333333314,10.166666666666686,-3.0
2010,,3.0,12.0,-1.0,-5.166666666666686,14.0,7.0,0.0,11.0,-9.5,-1.8333333333333144,-2.3333333333333144,12.0,-9.166666666666686,-4.166666666666686,6.0,0.16666666666668561,-12.5,7.0,2.0,5.833333333333314,-8.0,-2.0,9.0,-4.0,-5.0
2011,,3.0,-22.0,-6.0,11.0,-16.0,-10.0,-2.0,-1.0,1.6666666666666856,-1.0,4.333333333333314,-0.5,-10.0,4.0,9.0,6.666666666666686,-6.0,-10.166666666666686,4.166666666666686,8.0,9.0,5.0,-12.0,-4.0,-11.0
2012,,-5.0,-7.0,9.0,9.666666666666686,5.666666666666686,9.333333333333314,0.0,-4.0,-13.0,1.0,13.0,3.3333333333333144,10.0,-8.0,-6.0,4.0,4.833333333333314,-10.0,10.166666666666686,-10.0,0.0,-3.0,-20.0,-0.3333333333333144,1.0
2013,,6.0,1.0,-5.0,8.0,-9.0,6.0,-1.0,13.833333333333314,-9.333333333333314,-6.833333333333314,3.6666666666666856,10.0,2.6666666666666856,-0.8333333333333144,1.0,-6.0,-6.333333333333314,3.0,-22.0,-5.0,6.0,-8.0,-0.6666666666666856,-7.833333333333314,2.0
2014,,0.0,-5.666666666666686,-13.0,-6.0,0.0,11.0,11.0,-9.0,-8.666666666666686,1.0,10.0,-2.0,-8.0,-1.0,2.1666666666666856,-39.833333333333314,3.0,12.0,-2.3333333333333144,0.0,-2.0,-25.0,-11.0,-10.5,-2.0
2015,,-8.5,-5.0,-11.0,-6.0,-10.333333333333314,-9.166666666666686,-7.0,-5.0,3.6666666666666856,-5.0,2.0,11.0,-1.0,4.0,11.0,-8.0,-10.0,-6.833333333333314,1.0,-16.333333333333314,2.0,10.0,14.0,7.0,-1.8333333333333144
2016,,2.0,-11.0,-1.0,-2.3333333333333144,4.166666666666686,12.833333333333314,12.0,8.0,10.833333333333314,-16.0,-10.5,4.0,-3.0,-12.0,-9.0,4.166666666666686,8.833333333333314,-7.0,-0.6666666666666856,-15.666666666666686,4.0,-2.0,-16.0,5.5,-5.0
2017,,-15.0,0.3333333333333144,2.0,-8.0,6.0,7.833333333333314,6.333333333333314,-10.0,2.0,-2.0,6.166666666666686,-6.0,-9.0,2.0,-10.0,3.0,13.0,0.5,-2.1666666666666856,0.8333333333333144,7.0,12.0,-17.0,4.0,8.0
2018,,-4.0,-13.833333333333314,-4.0,-10.5,-5.0,-6.333333333333314,12.0,-2.1666666666666856,-5.0,-3.0,3.0,0.3333333333333144,4.666666666666686,8.0,-7.0,14.5,-1.0,-13.666666666666686,-2.0,1.0,8.0,-1.0,5.0,-19.0,-12.0
2019,,-1.0,2.0,-9.0,-2.0,5.0,-11.333333333333314,-17.0,-17.0,5.0,-4.0,6.0,1.0,4.0,5.0,-14.5,-14.0,-0.5,-6.166666666666686,3.0,-3.0,-1.5,0.16666666666668561,-20.0,6.0,-8.5
2020,,-1.8333333333333144,1.5,11.0,-3.0,-4.0,7.166666666666686,-3.0,-11.0,-2.8333333333333144,-4.0,-1.0,9.0,-1.1666666666666856,-12.666666666666686,12.0,-12.0,-6.833333333333314,-3.0,14.0,12.0,15.0,3.8333333333333144,-17.0,8.833333333333314,1.0
2021,,-1.0,2.0,-0.8333333333333144,14.0,-15.0,5.166666666666686,11.0,-13.0,0.0,-2.0,14.0,9.0,5.0,-8.333333333333314,2.6666666666666856,-5.0,5.5,10.0,-18.833333333333314,13.0,0.0,-17.0,-8.0,5.0,5.0
2022,,14.0,0.0,3.6666666666666856,-9.666666666666686,-12.5,-4.0,3.0,8.0,0.0,14.0,-2.3333333333333144,-15.0,0.0,10.166666666666686,6.0,2.1666666666666856,2.0,-4.0,-14.166666666666686,-5.0,4.0,7.0,10.0,-7.0,7.0
