sim_code,sdev,crmsd,ccoef
RCA4_AFR-44_CCCma-CanESM2_rcp45,39.33,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,25.4,20.9,0.88
RCA4_AFR-44_CCCma-CanESM2_rcp85,25.69,19.9,0.9
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,27.46,19.0,0.9
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,27.6,18.5,0.9
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,29.95,12.3,0.97
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,30.71,11.4,0.98
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,30.35,16.8,0.92
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,29.72,17.1,0.91
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,29.27,17.6,0.91
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,25.37,21.8,0.86
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,24.74,22.3,0.85
RCA4_AFR-44_MIROC-MIROC5_rcp26,32.94,13.8,0.94
RCA4_AFR-44_MIROC-MIROC5_rcp45,33.28,13.6,0.94
RCA4_AFR-44_MIROC-MIROC5_rcp85,33.05,13.7,0.94
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,26.76,18.9,0.9
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,26.07,19.9,0.89
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,26.76,19.1,0.9
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,29.46,17.0,0.92
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,29.2,17.1,0.92
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,29.84,16.8,0.92
RCA4_AFR-44_NCC-NorESM1-M_rcp26,25.2,20.2,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp45,25.09,20.3,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp85,25.0,19.8,0.91
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,37.03,18.4,0.89
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,37.04,18.2,0.89
