year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
2001,,2748.524657163846,2759.3984951151856,2769.5016780182273,2788.60234440921,2809.0316665196747,2860.511096207118,2708.5115920965645,2722.674200483654,2739.7375583841967,2740.7565083528602,2760.4464747722923,2759.1556559047963,2778.547954761929,2776.0557463181117,2714.298564993718,2692.5823736944117,2725.6509212230517,2755.2935996384076,2769.03498965852,2799.748765432314,2698.4982640385338,2716.9344759380006,2720.068508403172,2761.7023168623855,2770.424264333178
2002,,2720.2207459775113,2737.95194475944,2756.6697374414075,2778.2824061031934,2775.070816306241,2826.5621790576674,2749.459291164656,2765.6481353562663,2777.164460034544,2752.586973529758,2768.4372881886025,2717.3898456636725,2722.229769096527,2746.697317634289,2780.725784859389,2758.5614770991797,2787.9075523720417,2689.9998359838055,2700.8449273326028,2732.218927885508,2689.972972923664,2704.5171318304824,2712.68973555537,2733.8434286656006,2743.47495230663
2003,,2748.3390423446576,2757.6489148284254,2728.681768015811,2749.205934430733,2749.5874536665883,2786.21336585951,2755.7783144761397,2770.99075729393,2789.453971383857,2788.804239812038,2807.866921428553,2774.3739999299983,2782.215630062748,2785.709434178407,2793.3068673529738,2765.9626610946557,2796.550904426822,2727.9178974599304,2734.586448196713,2776.882868053808,2727.0407504577693,2743.894156881883,2751.336323209638,2709.838120164517,2722.0330983990593
2004,,2759.4166256911462,2770.4407449420473,2761.0121108248095,2787.8251457824663,2777.0184327279094,2829.740483394488,2742.9801681924037,2758.3510238284907,2780.4644621808056,2804.3649162943934,2822.5950997546174,2802.7870526038946,2801.2430876809526,2819.973329636243,2730.809772204595,2716.556083229498,2745.2452452387047,2773.515911520553,2785.6000957170822,2821.4750750336934,2722.875409155482,2743.476173253582,2749.492315333846,2789.9438897917776,2799.566707819645
2005,,2812.380134348428,2826.876971159482,2759.7468323650737,2772.855626777429,2818.0576801589436,2863.011772299591,2711.9001800931806,2724.72391632777,2751.2139472326166,2751.3763480366283,2774.2663703955222,2762.136497396661,2770.2638516679995,2781.2049875668968,2777.224612422938,2770.366149072792,2801.3595098304613,2754.5409197020194,2767.361764042118,2804.0332178093227,2752.8720827180027,2766.645065084748,2774.1004778596184,2761.241385996315,2767.189780944412
2006,,2751.330291698563,2796.464173059803,2750.5495537980987,2704.7011682222205,2833.53939607688,2888.6374770309917,2775.3610045380397,2776.212337043715,2705.0556338980223,2743.9593179672906,2749.3185915753547,2747.757345114232,2777.836240198203,2809.60266216619,2701.585408281503,2729.5396895060767,2718.8461349437243,2738.165898608115,2772.791744223079,2754.8651158373145,2709.899614225775,2780.012712990858,2773.4941406109533,2771.826528641974,2787.880504249945
2007,,2725.0833832412104,2730.4323794879506,2769.882080881643,2765.1833189977915,2792.289932656098,2813.287713850454,2785.006276524737,2775.1066351497143,2760.557793259511,2715.3583960196843,2752.466092915487,2787.715511236715,2767.5990570472313,2820.403659013789,2736.7079729622906,2745.4505132114887,2804.7430733353117,2734.7490540040085,2750.9800113227557,2771.927723233633,2783.551342281775,2732.342259857775,2734.5854328245146,2730.400594851609,2823.87943091856
2008,,2730.984126622767,2741.1174187607176,2751.9185493895297,2779.978517016945,2788.9044946680424,2787.1439728860028,2747.989581843232,2761.236718373671,2763.9385257665267,2791.7357393371954,2786.93643482084,2805.036142066128,2776.2185398731003,2774.054999147678,2738.078944671314,2810.3117946304833,2819.3081430056864,2742.8002181299403,2735.017764316199,2759.624656867256,2741.8278919731983,2751.3345926998973,2710.561895494519,2733.688543405608,2731.432580165087
2009,,2765.9944063525068,2732.761821921162,2727.388976279976,2773.9921371128808,2790.02488527604,2823.3186498303908,2761.878758700737,2763.045848758395,2736.343063186905,2743.4741554352036,2773.135720143031,2824.7521065962906,2749.364653287634,2773.1597325452035,2788.2670144614654,2813.8494246622236,2794.5296918088934,2661.070067337832,2804.252106109707,2777.684210211293,2796.449104045359,2753.341104542012,2713.5255432043123,2745.826432623721,2769.0352134760356
2010,,2815.281623522986,2816.7899035994674,2758.0511738672794,2783.0175195207707,2860.9885480949793,2903.740888204886,2779.153161524105,2771.83174115501,2802.6054716974954,2766.1089955830234,2715.748603384505,2769.4907552528525,2824.4942373357976,2702.555005833767,2736.8240165006578,2797.3377809205135,2822.3048684469227,2695.471440797565,2765.4542346734565,2724.998795641714,2779.8957030342517,2749.840223278137,2742.2554337909874,2730.09341110807,2816.753532843441
