year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
2001,,23.16666666666667,29.16666666666667,-4.5,-9.333333333333336,23.5,23.33333333333333,9.666666666666664,0.0,-2.8333333333333357,-3.3333333333333357,-7.666666666666664,15.5,7.5,8.333333333333336,-2.5,-2.5,7.166666666666664,1.3333333333333357,-1.5,25.83333333333333,22.0,23.5,6.166666666666664,3.1666666666666643,5.666666666666664,4.666666666666664,9.333333333333336,9.0,-8.166666666666664,-16.5,-16.5,-12.333333333333336,-9.166666666666664,2.5,4.0,8.0,-11.666666666666664,-12.833333333333336,-10.166666666666664,7.5,4.5,6.333333333333336,11.5,10.5,3.6666666666666643,-2.6666666666666643,-2.0,9.333333333333336,8.5,-6.833333333333336,-9.166666666666664,4.833333333333336,8.166666666666664,12.666666666666664
2002,,21.5,21.5,8.666666666666664,7.666666666666664,1.5,4.833333333333336,8.666666666666664,2.1666666666666643,-15.5,-15.666666666666664,-16.333333333333336,18.0,16.83333333333333,14.166666666666664,-2.1666666666666643,-2.6666666666666643,26.5,24.83333333333333,25.33333333333333,8.833333333333336,8.166666666666664,7.666666666666664,7.166666666666664,4.666666666666664,3.5,7.666666666666664,2.1666666666666643,3.5,-16.166666666666664,-12.0,-16.0,-5.333333333333336,-10.333333333333336,-4.333333333333336,9.666666666666664,4.666666666666664,25.0,21.66666666666667,24.0,9.5,2.0,5.0,-3.3333333333333357,0.5,-0.1666666666666643,18.16666666666667,13.166666666666664,28.5,28.5,1.8333333333333357,-4.166666666666664,4.5,0.0,0.0
2003,,19.0,22.5,18.16666666666667,17.66666666666667,19.5,19.5,-9.166666666666664,-9.5,17.0,18.33333333333333,11.333333333333336,8.166666666666664,7.166666666666664,7.0,-9.0,-8.5,4.0,3.0,3.1666666666666643,37.16666666666667,23.33333333333333,23.5,2.5,-0.5,2.3333333333333357,-4.0,-6.166666666666664,-5.666666666666664,0.1666666666666643,-1.0,2.6666666666666643,7.0,7.5,10.0,10.5,19.33333333333333,33.33333333333333,32.16666666666667,32.5,1.8333333333333357,2.0,1.3333333333333357,6.833333333333336,0.0,3.3333333333333357,-0.5,-0.3333333333333357,7.5,7.5,19.83333333333333,13.833333333333336,28.0,27.16666666666667,-7.166666666666664
2004,,3.5,9.5,6.5,5.333333333333336,14.0,11.0,8.166666666666664,2.1666666666666643,5.5,5.333333333333336,4.666666666666664,8.333333333333336,8.166666666666664,7.333333333333336,1.5,0.0,11.833333333333336,2.8333333333333357,4.5,9.833333333333336,-0.1666666666666643,-0.8333333333333357,22.5,13.0,11.166666666666664,8.166666666666664,10.333333333333336,13.0,6.0,4.5,7.5,19.0,17.33333333333333,-0.3333333333333357,3.0,1.5,-1.1666666666666643,-3.6666666666666643,-3.1666666666666643,3.0,3.3333333333333357,3.5,-4.833333333333336,-0.3333333333333357,-5.833333333333336,6.833333333333336,2.1666666666666643,19.5,18.66666666666667,24.5,24.5,3.6666666666666643,-3.1666666666666643,-11.5
2005,,29.5,30.16666666666667,22.33333333333333,22.0,9.5,9.5,21.0,-5.0,23.16666666666667,19.0,11.166666666666664,3.0,1.3333333333333357,-2.1666666666666643,-11.0,-9.0,-7.5,-7.5,-11.666666666666664,20.16666666666667,12.666666666666664,14.5,18.66666666666667,14.166666666666664,-1.0,2.3333333333333357,11.5,11.833333333333336,18.16666666666667,17.5,18.0,2.3333333333333357,0.6666666666666643,0.6666666666666643,0.6666666666666643,2.6666666666666643,6.666666666666664,0.1666666666666643,4.5,1.0,-3.0,-8.5,23.5,25.5,24.83333333333333,9.166666666666664,13.0,12.5,12.5,10.5,10.5,18.5,16.5,2.5
2006,,13.5,26.5,21.16666666666667,1.8333333333333357,14.5,15.5,7.666666666666664,-3.5,10.0,-12.0,-10.0,11.0,17.16666666666667,1.6666666666666643,16.16666666666667,-4.5,7.666666666666664,-2.0,-1.3333333333333357,-3.0,1.0,1.3333333333333357,-2.5,-0.1666666666666643,1.8333333333333357,-0.1666666666666643,9.666666666666664,3.0,5.333333333333336,0.1666666666666643,-8.833333333333336,-11.5,-9.5,-12.5,11.833333333333336,37.5,-6.333333333333336,1.8333333333333357,-7.333333333333336,8.666666666666664,0.5,16.66666666666667,-1.3333333333333357,7.666666666666664,-0.8333333333333357,10.166666666666664,5.166666666666664,4.5,11.5,-4.5,16.33333333333333,-13.5,-0.1666666666666643,6.5
2007,,37.0,26.16666666666667,31.16666666666667,5.333333333333336,-3.5,7.833333333333336,-4.166666666666664,-18.166666666666668,25.66666666666667,-4.5,-1.6666666666666643,-11.0,-8.833333333333336,-4.0,-5.0,-6.333333333333336,19.5,5.666666666666664,17.66666666666667,37.0,18.5,4.666666666666664,-3.8333333333333357,-10.666666666666664,3.5,-8.5,4.0,-6.833333333333336,22.83333333333333,14.666666666666671,8.0,8.333333333333336,-4.5,12.666666666666664,2.0,18.5,20.66666666666667,7.333333333333336,-11.666666666666664,5.833333333333336,-5.5,2.6666666666666643,17.5,-3.8333333333333357,10.5,11.5,1.5,14.5,19.5,3.3333333333333357,5.333333333333336,30.5,23.83333333333333,5.833333333333336
2008,,27.5,31.0,18.66666666666667,42.16666666666667,-11.5,45.0,-6.5,-9.0,-2.0,-11.666666666666664,7.0,3.3333333333333357,-17.5,17.16666666666667,26.5,8.5,3.8333333333333357,-2.0,1.1666666666666643,10.5,47.33333333333333,13.0,-6.833333333333336,-14.333333333333336,10.333333333333336,3.5,8.666666666666664,-10.833333333333336,8.5,18.33333333333333,19.5,-0.6666666666666643,-10.333333333333336,17.0,6.5,-1.3333333333333357,-1.5,10.333333333333336,19.33333333333333,0.3333333333333357,-11.5,27.66666666666667,18.33333333333333,5.5,4.5,6.0,11.333333333333336,6.5,9.333333333333336,4.833333333333336,-4.166666666666664,-2.5,14.666666666666671,15.5
2009,,33.5,29.0,11.5,33.83333333333333,20.5,3.1666666666666643,12.333333333333336,17.5,0.5,5.5,1.3333333333333357,-18.5,18.0,-12.0,-10.166666666666664,-19.0,12.5,17.83333333333333,-10.333333333333336,12.5,20.33333333333333,1.3333333333333357,9.833333333333336,-10.333333333333336,-1.5,14.166666666666664,7.666666666666664,3.1666666666666643,-5.5,9.166666666666664,12.0,6.0,19.0,12.333333333333336,-4.0,-0.1666666666666643,8.5,27.5,-2.1666666666666643,-12.0,14.0,9.5,9.333333333333336,1.3333333333333357,-3.1666666666666643,10.166666666666664,6.833333333333336,15.5,34.5,14.0,5.833333333333336,33.5,-3.8333333333333357,1.5
2010,,24.5,35.5,29.5,13.5,6.833333333333336,18.5,21.5,1.6666666666666643,25.66666666666667,13.666666666666664,-1.3333333333333357,-12.333333333333336,5.666666666666664,10.833333333333336,15.333333333333329,-0.3333333333333357,16.33333333333333,26.83333333333333,1.3333333333333357,-17.5,56.83333333333333,37.16666666666667,22.66666666666667,11.0,2.5,3.1666666666666643,-0.5,8.5,39.83333333333333,17.83333333333333,-7.0,9.5,2.0,15.666666666666671,12.5,-2.6666666666666643,0.1666666666666643,23.5,25.0,-2.0,3.5,-5.166666666666664,16.16666666666667,24.83333333333333,-6.5,0.1666666666666643,0.5,3.5,30.5,10.166666666666664,-3.8333333333333357,-5.5,52.83333333333333,-1.6666666666666643
